UID,Category,Subcategory,ItemName,Margin,SellPrice
9207385,Noodles & Pasta,Cup Noodles,Cup Noodles_1,0.22,25
9207392,Noodles & Pasta,Cup Noodles,Cup Noodles_2,0.22,25
9207399,Noodles & Pasta,Cup Noodles,Cup Noodles_3,0.22,25
9217479,Noodles & Pasta,Cup Noodles,Cup Noodles_4,0.22,26
9217507,Noodles & Pasta,Cup Noodles,Cup Noodles_5,0.24,26
9202905,Noodles & Pasta,Instant Noodles,Instant Noodles_1,0.2,15
9202912,Noodles & Pasta,Instant Noodles,Instant Noodles_2,0.25,15
9206363,Noodles & Pasta,Instant Noodles,Instant Noodles_3,0.22,16
9207329,Noodles & Pasta,Instant Noodles,Instant Noodles_4,0.25,10
9207336,Noodles & Pasta,Instant Noodles,Instant Noodles_5,0.23,9
9207343,Noodles & Pasta,Instant Noodles,Instant Noodles_6,0.22,14
9207350,Noodles & Pasta,Instant Noodles,Instant Noodles_7,0.22,50
9207364,Noodles & Pasta,Instant Noodles,Instant Noodles_8,0.2,30
9207371,Noodles & Pasta,Instant Noodles,Instant Noodles_9,0.22,25
9213419,Noodles & Pasta,Instant Noodles,Instant Noodles_10,0.25,10
9213426,Noodles & Pasta,Instant Noodles,Instant Noodles_11,0.2,12
9213433,Noodles & Pasta,Instant Noodles,Instant Noodles_12,0.22,8
9213440,Noodles & Pasta,Instant Noodles,Instant Noodles_13,0.25,8
9215470,Noodles & Pasta,Instant Noodles,Instant Noodles_14,0.23,10
9215862,Noodles & Pasta,Instant Noodles,Instant Noodles_15,0.24,77
9215869,Noodles & Pasta,Instant Noodles,Instant Noodles_16,0.2,40
9216093,Noodles & Pasta,Instant Noodles,Instant Noodles_17,0.24,40
9216247,Noodles & Pasta,Instant Noodles,Instant Noodles_18,0.23,20
9216492,Noodles & Pasta,Instant Noodles,Instant Noodles_19,0.2,54
9216499,Noodles & Pasta,Instant Noodles,Instant Noodles_20,0.21,10
9216506,Noodles & Pasta,Instant Noodles,Instant Noodles_21,0.21,15
9216646,Noodles & Pasta,Instant Noodles,Instant Noodles_22,0.25,55
9217486,Noodles & Pasta,Instant Noodles,Instant Noodles_23,0.2,10
9217493,Noodles & Pasta,Instant Noodles,Instant Noodles_24,0.21,10
9217577,Noodles & Pasta,Instant Noodles,Instant Noodles_25,0.22,9
9217626,Noodles & Pasta,Instant Noodles,Instant Noodles_26,0.21,35
9218053,Noodles & Pasta,Instant Noodles,Instant Noodles_27,0.2,9
9218060,Noodles & Pasta,Instant Noodles,Instant Noodles_28,0.22,18
9218067,Noodles & Pasta,Instant Noodles,Instant Noodles_29,0.21,49
9202737,Noodles & Pasta,Instant Pasta,Instant Pasta_1,0.2,15
9202744,Noodles & Pasta,Instant Pasta,Instant Pasta_2,0.25,15
9202842,Noodles & Pasta,Instant Pasta,Instant Pasta_3,0.23,18
9202849,Noodles & Pasta,Instant Pasta,Instant Pasta_4,0.23,15
9216023,Noodles & Pasta,Instant Pasta,Instant Pasta_5,0.22,15
9200707,Noodles & Pasta,Pasta,Pasta_1,0.21,109
9200714,Noodles & Pasta,Pasta,Pasta_2,0.21,109
9200721,Noodles & Pasta,Pasta,Pasta_3,0.2,94
9200749,Noodles & Pasta,Pasta,Pasta_4,0.21,109
