itemcode,Store_OnHand
9207385,34
9207392,8
9207399,31
9217479,35
9217507,64
9202905,63
9202912,41
9206363,103
9207329,68
9207336,20
9207343,36
9207350,9
9207364,72
9207371,89
9213419,97
9213426,56
9213433,21
9213440,165
9215470,23
9215862,103
9215869,737
9216093,47
9216247,289
9216492,801
9216499,309
9216506,215
9216646,288
9217486,218
9217493,74
9217577,93
9217626,41
9218053,64
9218060,2
9218067,2
9202737,16
9202744,8
9202842,8
9202849,12
9216023,120
9200707,91
9200714,3
9200721,15
9200749,8
9207021,100
9208155,11
9208162,123
9208169,2
9208176,37
9208344,16
9208358,63
9216296,118
9216324,41
9216331,19
9216373,53
9217619,31
9201519,27
9208302,105
9213447,3
9213454,1
9213461,4
9213468,5
9213503,5
9217339,180
9216310,38
9216338,122
9216345,93
9216359,60
9217549,44
104809,9
105691,11
105698,15
111137,245
112432,45
103892,13
101463,61
104249,71
104263,180
104277,58
105404,78
105642,19
106286,88
106293,188
106300,2
111081,106
111088,20
111102,46
111928,404
111935,144
112075,171
112131,61
112201,75
112915,10
113412,7
101274,40
101414,48
101484,138
101491,245
101505,91
103836,218
104193,28
104200,26
105369,63
105565,9
105586,38
106566,72
106580,129
109303,34
111067,48
111074,36
111984,46
112082,146
112103,619
112677,39
112831,55
112957,68
112964,204
112985,26
112992,281
112999,314
113006,178
113174,167
113181,47
113188,208
113258,146
113349,81
113356,127
113363,8
113370,214
113384,178
113391,56
104872,763
111438,142
112145,95
112922,12
113251,65
102541,18
102548,9
102555,9
110129,1
111942,634
111949,188
112628,190
113279,27
105551,15
105663,7
105684,22
112208,31
112670,257
101421,115
104998,140
105390,75
105397,245
105411,130
105670,182
112215,340
112929,33
112936,238
112943,309
112950,47
113027,122
113034,14
113069,81
113146,143
113377,3
102562,58
113013,71
101722,18
101729,4
101743,23
8100196,864
8100021,229
8100357,176
8100364,364
8100658,943
8100273,24
8100133,118
8100147,31
8100371,164
8100378,276
8100406,95
8100413,28
8100350,119
8100028,496
8100210,181
8100266,17
8100399,407
8100630,1059
9204641,1
9204648,2
9204669,1
9206552,2
9206559,1
9207056,4
9207063,7
9215260,2
9216667,4
9216681,3
9217171,3
9217682,2
9217703,1
9217710,1
9217717,0
9217731,2
9217745,1
9217759,1
9217766,0
9217773,1
9217780,2
9217787,1
9217794,1
9201211,3
9201232,3
9201253,1
9201281,2
9201295,2
9201330,1
9201470,1
9201554,3
9207896,1
9208071,1
9212313,0
9217801,2
9217808,7
9201106,0
9201120,3
9201127,0
9201141,3
9206545,3
9208197,1
9217101,9
9217108,29
9217115,41
9204816,3
9211445,20
9211501,50
9213020,26
9214343,82
9214385,37
9214413,23
9214588,35
9201708,62
9206762,12
9206769,12
9216856,12
9203003,19
9203059,24
9203129,4
9205453,79
9205460,32
9207959,51
9208323,21
9211025,20
9202996,10
9203010,66
9203017,24
9203087,75
9203094,33
9203101,63
9203115,25
9203122,64
9205432,303
9205439,27
9205446,156
9205467,212
9205474,61
9205481,28
9206748,37
9207889,26
9207903,11
9207924,26
9207966,82
9207973,90
9207980,9
9207987,118
9207994,62
9208330,45
9208337,38
9208351,29
9211004,74
9211011,27
9211018,6
9211032,2
9211039,92
9214602,7
9216016,73
110801,130
110808,147
110815,97
110990,37
112516,357
103213,134
103241,208
103402,272
103416,269
103556,93
103563,204
103570,115
103577,137
103584,139
103605,72
103612,84
103619,46
104067,80
106153,183
106601,264
108694,381
108764,55
108771,673
108778,29
108785,155
109373,31
109730,59
110451,289
110458,97
110465,67
111844,144
106314,79
106846,3
106853,185
106860,190
106888,24
110710,213
110717,153
110724,241
110731,215
110738,342
112033,109
103199,140
103283,135
103451,67
105509,164
105880,157
106783,381
106790,133
106797,54
106804,171
106825,150
106832,700
106867,155
106881,46
110514,6
110605,615
110619,411
110822,16
110829,661
110836,575
110843,8
110850,169
110857,32
110864,34
111816,30
112124,113
112502,220
112509,22
103724,228
108400,105
108680,234
108708,152
108715,144
110472,186
110479,17
103255,211
103458,296
110563,220
110570,96
110577,167
110584,51
110591,63
110598,253
110612,56
110626,179
110871,22
112488,76
112495,93
110675,1509
110682,151
110696,92
112222,292
101512,411
102079,193
110703,17
110759,13
110780,238
103878,5
103913,157
105768,21
105775,236
105803,15
106111,30
106629,59
108393,15
108638,213
108645,150
108652,79
108666,236
108687,111
108792,46
109324,125
110535,50
110542,80
111837,170
111872,202
111879,68
112040,55
112047,11
103325,238
105453,5
106755,73
106769,100
106776,282
110500,24
110654,214
110661,2
110668,47
110885,117
112159,478
112411,12
112418,311
112425,13
112530,8
113342,164
9206433,3
9206461,21
9206468,8
9208386,3
9213244,18
9213720,7
9201659,15
9206146,21
9206776,3
9206783,7
9206790,18
9206797,10
9206818,4
9206986,1
9203045,20
9206160,8
9206167,2
9206440,8
9206447,1
9218004,78
9205929,6
9206202,19
9206209,9
9206216,1
9206223,16
9206230,9
9206398,21
9206405,24
9206412,5
9206419,30
9206426,5
9215421,15
9213482,36
9216849,10
9216891,628
9216898,302
9216947,40
9216954,15
9203836,249
9203843,351
9203850,157
9203885,193
9203892,627
9204067,455
9207161,280
9208099,212
9208225,178
9208869,413
9209149,319
9209156,268
9209170,164
9215708,208
9215722,269
9216198,67
9216261,1582
9216268,70
9216275,788
9216282,103
9216730,53
9216737,78
9216744,90
9216863,450
9216933,1112
9217010,459
9217024,587
9217031,356
9217038,35
9217045,2
9217052,146
9217059,29
9217367,455
9217381,17
9217395,91
9217409,104
9217423,440
9217430,149
9217437,219
9217444,227
9217451,43
9204263,145
9216100,43
9216107,70
9216114,180
9201624,7
9202667,112
9205642,339
9208211,71
9216380,391
9216387,233
9217283,164
9217668,15
9202359,143
9202373,4
9202380,68
9202387,320
9202394,326
9203829,28
9203920,16
9206951,105
9206958,439
9208904,434
9209177,381
9209184,107
9212593,154
9213867,310
9214091,35
9214098,6
9214259,472
9214266,301
9214273,60
9215960,3233
9216030,22
9216037,111
9216044,44
9216394,181
9216401,88
9216478,319
9216996,91
9217458,397
9217465,29
9217472,13
9218011,657
9218081,46
9205124,303
9205131,22
9205145,28
9205180,77
9205187,20
9205194,28
9205201,304
9205257,155
9205278,94
9207441,59
9208029,22
9208036,4
9208043,100
9208050,25
9208057,11
9208064,233
9215918,100
9215925,10
9216065,110
9216072,183
9216254,118
9216464,103
9216751,137
9216758,300
9216905,113
9216912,191
9216919,17
9216926,28
9216940,65
9216961,78
9216968,45
9216975,145
9216982,23
9216989,22
9217003,16
9217066,56
9217073,26
9217598,102
9217612,181
9216205,25
9216212,76
9216219,33
9216233,151
9200980,448
9201001,119
9201008,312
9204984,184
9204991,36
9204998,313
9205012,26
9205019,155
9205026,308
9205033,148
9205040,357
9205047,338
9205054,55
9207784,276
9207798,782
9207812,287
9207875,25
9209198,35
9210577,9
9210864,345
9214749,64
9217017,546
9217297,127
9217318,202
9217661,60
9217997,143
9202674,164
9202681,297
9202856,98
9202870,2
9202877,172
9202884,40
9202891,156
9208008,281
9208015,132
9208022,109
9200987,449
9200994,232
9201064,381
9201071,65
9201085,58
9201092,382
9203395,193
9203402,114
9203409,212
9203416,308
9203423,142
9203430,211
9203437,8
9203451,123
9203458,493
9203465,223
9203472,150
9203479,322
9203486,139
9207091,139
9216471,2161
9216723,1867
9217080,419
9217087,390
9217094,131
9203241,203
9203248,121
9202569,28
9202604,8
9202611,15
9202646,12
9202653,11
9203535,17
9205628,3
9214735,10
9215211,3
9215274,7
9215281,40
9215953,224
9215981,2
9217325,28
9217332,5
9217556,22
9217563,5
9217591,60
9217640,13
9217654,13
9217941,4
9217976,5
9217990,11
9202632,6
9202639,3
9203542,5
9208148,4
9215876,24
9215988,13
9217647,33
9200868,16
9200889,6
9201267,9
9201288,24
9201351,9
9201379,27
9201603,4
9208568,35
9208582,18
9208624,40
9212089,19
9212397,6
9215337,21
9217514,36
9217521,5
9217528,8
9205789,30
9205901,10
9205922,5
9213314,15
9213321,6
9213328,2
9213335,12
9214665,2
9204333,5
9204347,13
9204354,2
9204361,6
9204445,61
9205663,28
9205670,25
9205677,43
9205740,19
9206258,16
9206265,28
9206279,3
9206335,3
9209660,1
9211088,39
9211095,1
9211102,13
9211109,14
9211116,38
9213279,20
9213636,13
9213643,30
9213650,47
9213657,27
9213706,65
9213727,5
9217220,122
9201547,11
9217542,51
9200819,3
9200826,31
9201498,2
9201568,15
9205782,10
9205894,20
9205915,7
9211053,21
9211081,5
9216058,7
9217535,9
9200854,22
9211074,26
9206174,80
9206181,17
9207070,4
9207077,42
9215407,19
9202751,22
9202758,20
9202765,10
9202779,8
9202807,5
9206041,5
9206055,11
9206062,13
9206069,13
9206090,14
9206097,15
9211130,11
9211137,20
9211144,7
9211151,13
9211158,6
9211165,4
9211172,4
9211179,3
9212922,4
9212964,3
9213363,18
9213573,29
9214679,4
9214686,33
9214693,19
9214700,28
9214707,9
9214714,10
9214721,19
9214728,24
9216527,27
9216541,6
9216555,6
9216562,13
9216569,20
9216576,15
9216583,14
9202709,17
9205943,14
9205950,22
9205957,83
9205985,21
9205992,20
9206076,34
9206083,6
9206188,27
9206286,12
9206300,9
9206993,6
9207000,22
9215414,13
9215428,7
9215435,6
9217178,24
9206482,5
9206489,7
9211333,2
9211340,5
9215813,31
9215820,2
9215827,18
9216548,2
9200763,34
9201372,13
9201435,20
9206118,15
9206195,81
9206496,13
9206503,13
9201456,7
9201484,24
9201449,7
9201617,55
9201750,68
9206132,71
9206139,13
9206321,23
9206888,244
9208288,41
9213664,186
9217269,99
9201533,5
9207049,15
9200770,29
9206314,45
9215302,37
9215372,34
9202989,41
9203024,37
9203031,20
9203143,34
9203157,52
9204368,15
9204431,18
9207910,37
9208232,8
9208239,6
9208246,5
9208253,5
9208267,62
9208379,6
9213692,43
9214455,5
9215295,30
9215309,18
9215316,50
9215365,10
9216289,187
9216653,94
9216660,78
9217199,28
9217206,43
9217234,197
9217248,26
9217500,23
9217955,13
9217962,32
9217969,4
9218046,32
9218095,61
101176,80
109415,157
113083,174
106258,12
111536,200
111907,238
112845,132
112880,69
113041,296
113062,22
113139,54
101442,169
101449,47
103003,19
103031,128
103038,20
103052,44
103073,64
103080,2
106377,123
106531,142
109429,28
112873,74
105103,136
105110,34
111060,134
111417,147
111830,156
112089,195
113090,41
101456,4
101190,187
101218,148
102569,54
102583,213
102590,94
102597,100
102933,72
102940,46
102947,15
102954,149
102961,65
102996,21
103024,128
103381,92
103388,30
104844,25
105446,8
106160,33
109408,84
109436,89
109443,18
109450,19
110955,43
112866,14
112971,31
113153,108
113314,198
103066,7
103332,52
103339,209
103346,96
103535,7
103542,84
105418,88
106419,23
106489,90
106496,67
109422,85
112068,25
113160,200
106902,63
106909,24
109947,51
109961,109
109982,52
110010,48
111228,133
111235,13
111242,2
111249,145
111256,48
112481,184
112565,320
102639,9
102646,5
102653,134
102660,2
105166,268
105180,32
105194,65
110094,152
110101,76
110108,14
110962,31
110969,9
110976,61
111795,63
111914,129
112579,186
112586,50
112593,128
112656,159
112698,121
112705,43
112817,98
113048,130
113055,141
113195,2315
104949,187
106384,57
106482,113
106517,145
106524,186
111200,58
112824,44
101183,159
104914,77
109457,72
109464,72
111186,100
112810,97
112859,68
9203514,2
9217150,49
9214742,67
9215491,42
9203192,9
9203199,4
9209135,4
9209191,5
9210661,13
9214658,1
9216149,5
9216156,5
9216163,19
9216191,81
9217164,28
9217185,19
9200658,40
9200665,30
9201057,8
9203598,24
9203738,8
9204130,17
9205292,44
9205299,7
9205306,43
9205537,5
9209142,31
9209205,64
9209219,38
9209513,27
9214224,65
9214231,9
9214672,8
9215141,24
9215148,6
9216002,45
9216079,27
9216170,34
9216177,222
9216184,185
9216688,6
9216702,8
9216709,10
9216716,11
9217122,14
9217129,18
9217143,23
9217276,6
9217290,14
9217304,25
9217570,153
9217584,15
9217605,11
9217948,28
9217983,8
9200672,22
9200679,5
9200686,11
9201050,11
9203206,55
9203213,36
9203605,13
9203612,42
9203619,63
9203626,71
9203633,22
9203640,17
9208806,1
9208813,4
9208820,5
9208827,4
9208834,44
9208841,10
9208855,9
9208862,20
9209926,37
9209933,62
9209940,23
9209947,49
9209954,24
9209961,36
9215806,33
9217262,67
